sampletype;samplename;compiler;function;LOC;ABC;A;B;C;Cyclomatic_Complexity;Halstead_Volume;Halstead_Level;Halstead_Difficulty;Halstead_Effort;Halstead_Time;MIwoc;Single_MI;Myers_Interval;Information_Flow
compiled;automorphic.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;83;21.863211109075447;9;19;6;30;16618.896801105246;0.038690082;120.5;429538.9424176003;23863.274578755572;41.979644573937975;-4.704676855;6;0
compiled;automorphic_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;71;24.779023386727733;11;18;13;27;10925.385859985858;0.057235125;71;190886.03060864072;10604.779478257818;47.380595432604665;3.405681694506427;13;0
compiled;automorphic_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;averagesum-softwaremetrics;prog_clang-oslatest-O0;all.csv;125;39.331920878594275;19;31;15;42;33375.03674396136;0.030625831479476635;162.5;1089767.5306000118;60542.640588889546;28.960387273150758;-14.01474957;15;0
compiled;averagesum.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;1176;744.7368662823131;632;272;285;273;3259233.4947673073;0.00195967;3292;1663154128.3800704;92397451.57667059;-84.30637441;-87.31981714;285;0
compiled;averagesum_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;binary2decimal-softwaremetrics;prog_clang-oslatest-O0;all.csv;142;40.45985664828782;18;32;17;42;42008.87802501605;0.027249699562644728;188;1541627.1995381538;85645.95552989743;25.698293133186596;-17.4834904;17;0
compiled;binary2decimal_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;binary2decimal_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2296;1556.154555306124;1412;457;468;458;8333098.582353329;0.001063336;6346;7836751568.134045;435375087.11855805;-142.5764437;-102.8209024;468;0
compiled;binary2octal-softwaremetrics;prog_clang-oslatest-O0;all.csv;156;45.232731511594565;23;34;19;44;45670.08143273368;0.024787382780978397;206;1842472.9160103367;102359.60644501871;23.280499498479074;-19.26619203;19;0
compiled;binary2octal.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;95;22.737634001804146;15;16;6;24;19080.955586454176;0.033697813;138.5;566237.2066712128;31457.622592845157;40.45367501621385;-7.467683624;6;0
compiled;binary2octal.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;1736;1132.8177258500152;1006;354;382;355;6068945.793703519;0.001361505;4957;4457526651.010183;247640369.50056574;-112.7085066;-97.17859887;382;0
compiled;binary2octal_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;binary2octal_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2291;1556.4922100672395;1414;454;466;455;8300406.295582219;0.001065486;6331;7790250751.038289;432791708.39101607;-141.8306858;-102.7613889;466;0
compiled;binary2octal_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;binary2octal_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;4;1.4142135623730951;0;1;1;2;180.21826694558575;0.21464630076312108;7;839.6057435178939;46.64476352877188;121.07235405560169;57.67067571298104;1;0
compiled;bkdrhash-softwaremetrics;prog_clang-oslatest-O0;all.csv;126;38.40572873934304;15;31;17;40;34091.75092866035;0.029616536650669538;169;1151105.2534864722;63950.29186035957;29.180817333451444;-14.56233129;17;0
compiled;bkdrhash.bc-softwaremetrics;prog_clang-oslatest-O0;all.csv;21;18;18;0;0;1;5712.225914994509;0.053447423;69;106875.61054484427;5937.533919158015;76.46684343;9.205790810769585;0;0
compiled;bkdrhash.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;1188;782.3490269694211;687;255;274;256;3309298.1293247915;0.001915289;3385;1727832394;95990688.54281667;-80.64011203;-87.70133508;274;0
compiled;bkdrhash_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;207;64.41273166075166;22;52;31;75;81098.22013;0.019478990891654304;286.5;4163368.655830103;231298.25865722794;8.582190824470231;-27.41835078;31;0
compiled;bkdrhash_file.bc-softwaremetrics;prog_clang-oslatest-O0;all.csv;23;20;20;0;0;1;5905.613978370734;0.049950379269537826;72;118229.6123619679;6568.311797887105;74.81996846589095;8.196161198;0;0
compiled;bkdrhash_file.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2238;1525.3632354295157;1379;456;466;457;8104129.887904601;0.001093379;6164;7412007091.800376;411778171.7666876;-141.7870724;-102.263671;466;0
compiled;bkdrhash_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;79;24.779023386727733;11;18;13;27;14380.031407896624;0.049876714;87;288311.5264084226;16017.307022690145;44.22224655;-0.717968634;13;0
compiled;bkdrhash_file_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;4;1.4142135623730951;0;1;1;2;121.99390377855038;0.2126103221681976;5;573.7910677828713;31.877281543492852;123.10138176268404;61.47734663351747;1;0
compiled;bkdrhash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;bkdrhash_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2273;1544.4073296899364;1399;453;472;454;8141774.7112808125;0.001071719;6282;7596931856.595454;422051769.81085855;-141.3725618;-102.510103;472;0
compiled;bogosort-softwaremetrics;prog_clang-oslatest-O0;all.csv;223;66.67083320313314;30;52;29;68;82088.0343;0.017414735;314.5;4713711.432046277;261872.8573359043;8.922970097578698;-28.65986146;29;0
compiled;bogosort.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;160;43.54308211415448;22;34;16;48;43881.76170688902;0.021057870748640985;243;2083865.0892432237;115770.28273573465;22.15806307148017;-20.49734943;16;0
compiled;bogosort_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;78;25.729360660537214;13;18;13;31;11748.844710491072;0.054189096;74;216811.9705106271;12045.109472812617;44.55946400804858;2.132142384442247;13;0
compiled;bogosort_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2276;1545.582737998843;1401;456;467;457;8173215.867391012;0.001073795;6267;7611521904.143453;422862328.0079696;-142.1039713;-102.5292898;467;0
compiled;bphash-softwaremetrics;prog_clang-oslatest-O0;all.csv;125;38.40572873934304;15;31;17;40;33430.488518406164;0.030202358254748717;165;1106883.3842850628;61493.52134917016;29.41175477479969;-14.17058862;17;0
compiled;bphash.bc-softwaremetrics;prog_clang-oslatest-O0;all.csv;21;18;18;0;0;1;5712.225914994509;0.053447423;69;106875.61054484427;5937.533919158015;76.46684343;9.205790810769585;0;0
compiled;bphash_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;206;64.41273166075166;22;52;31;75;79093.63847933424;0.019634307606073154;282.5;4028338.562591814;223796.58681065633;8.790789886530732;-27.08864582;31;0
compiled;bphash_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;79;24.779023386727733;11;18;13;27;14380.031407896624;0.049876714;87;288311.5264084226;16017.307022690145;44.22224655;-0.717968634;13;0
compiled;bphash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;bubblesort-softwaremetrics;prog_clang-oslatest-O0;all.csv;195;58.56620185738529;26;45;27;58;66198.32833219702;0.019283357016653364;278.5;3432925.515771308;190718.0842095171;14.515272604168118;-25.48923376;27;0
compiled;bubblesort.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2321;1588.1086234889601;1440;467;480;468;8569465.236660173;0.001055744;6409;8116988745.825276;450943819.21251535;-145.1973278;-103.1722508;480;0
compiled;bubblesort_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;298;94.29209935090002;31;73;51;100;143984.6912289952;0.013590629800510312;434.5;10594409.040822282;588578.2800456823;-6.055718244;-36.75836971;51;0
compiled;bubblesort_file.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2257;1533.217205747444;1389;453;465;454;8127018.994101052;0.001081978;6225;7511259878.366314;417292215.46479523;-141.2486915;-102.3966905;465;0
compiled;bubblesort_file.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;3408;2387.091535739675;2202;621;681;622;18129070.426334813;0.000749347;9648;24193154203.58393;1344064122.4213295;-190.7366124;-114.0933555;681;0
compiled;bubblesort_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;77;24.779023386727733;11;18;13;27;13474.781190085338;0.051504224;83;261624.7765661438;14534.709809230211;44.975761347319946;0.25333394275403975;13;0
